Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  box  containing
wrist  watch,  pair  of
cufflinks  pen  &  tie
(Ven Der Bauwede)",Watch,"Sep.  Sajid  Hussain,
Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
"One  box  containing
wrist  watch,  pair  of
cufflinks  pen  &  tie
(Ven Der Bauwede)",Watch,"Sep.  Farmanullah,
Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
"One  box  containing
wrist  watch,  pair  of
cufflinks  pen  &  tie
(Ven Der Bauwede)",Watch,"Mr. Mushtaq Ahmed, Valet",,2008-12-02,25000.0,2250.0,Yes,Yes
"Wrist  watch  Armand
Nicolet,  Model:8684-
A-P914,  Serial
No.40027,  Case
Material:  Stainless
Steel-Gold-4N,
Bracelet  Material:
Genuine  Alligator,
Buckle  Material:
Stainless  Steel  along
with  Instruction
Manual",Watch,"Mr. Shoukat Fayaz Ahmed
Tarin,  Advisor  to  Prime
Minister  on  Finance,
Revenue, Economic Affairs
and Statistics",,2008-12-02,85000.0,0.0,Yes,Yes
"a. One  Model  of
Horse  Neck
(Decoration
piece)
b. One  pistol  with
accessories",Weapons,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-01-15,150000.0,9750.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Ms.  Nuzhat  Sadiq,
MNA",,2009-01-21,211300.0,30195.0,Yes,Yes
"One  wrist  watch
Gents POG",Watch,"Mr.  Zafar  Mehmood,
Secretary Petroleum",Bureaucracy,2009-01-23,25000.0,2250.0,Yes,Yes
"a. One  BMW  760  Li
(Security  version)
(model No.2008)
b. One  Toyota  Lexus
LX  470  (Security
version",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-01-26,107828705.0,16172806.0,Yes,Yes
"One  BMW  760  Li
white  (Security
version)  (Model
No.2004)",,"Mr  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-01-26,27339370.0,4099406.0,Yes,Yes
"One  wrist  watch  Gio
Monoco",Watch,"Dr.  Asim  Hussain,
Chairman  NRB,
Advisor  to  Prime
Minister  on
Petroleum  and
Natural Resources",,2009-01-27,60000.0,7500.0,Yes,Yes
"One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Mr.  Munir  Khan
Orakzai, MNA",,2009-01-28,211300.0,30195.0,Yes,Yes
"a. One wrist watch,
b. One dagger.
c. One pen
d. Pair of cufflinks
e. One Tasbih",Watch,"Mr.  Asif  Ali  Zardari,
Co-Chairman  of
PPPP",PPP,2009-02-02,383500.0,56025.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Mrs.  Samina  Khalid
Ghurki, MNA",,2009-02-02,211300.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings",Watch,"Mrs. Belum Hasnain,
MNA",,2009-02-02,163900.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Ms.  Shagufta
Jumani,  MNA,
Minister  of  State,
M/o Religious Affairs",,2009-02-02,211300.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Mrs.  Khushbakht
Shujat, MNA",,2009-02-02,211300.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Mrs.  Khursheed
Begum, MNA",,2009-02-02,211300.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen",Watch,"Mrs.  Tahira
Aurangzeb, MNA",,2009-02-02,135200.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Ms.  Mehreen
Razzaque  Bhutto,
MNA",PPP,2009-02-02,211300.0,30195.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Dr.  Zil-E-Huma,
MNA",,2009-02-02,211300.0,30195.0,Yes,Yes
"One  Wrist  watch
(POG)",Watch,"Mr. M. Younas Khan,
Cameraman, PTV",Media,2009-02-10,25000.0,2250.0,Yes,Yes
"a. One  gun
(Winchester 30-30)
b. One  pistol  (Czech
6.35)",Weapons,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-02-14,200000.0,13500.0,Yes,Yes
"a. One
Photograph  of
Mohtarma  Benazir
Bhutto  Depicting
on Glass",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-02-14,28000.0,2700.0,Yes,Yes
One Carpet,Carpet,"Brig.  Mian
Muhammad  Hilal
Hussain,  Military
Secretary  to  the
President, MS (P)",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Lt.  Col  Syed
Muhammad  Adnan,
DMS  to  the
President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Sqn.  Ldr.  Malik  Jalal
Farooq, ADC (Air) to
the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Maj.  Imran  Haider,
ADC  (Army)  to  the
President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Maj.  Gen.  Tassawar
Hussain,  PP(P)  to
the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Lt.  Col.  Babar
Mumtaz,  CSO  to  the
President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Lt.  Col.  Adil
Rehmani,  SO  (P)  to
the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
One Jewellary Box,,"Mr.  Mushir  Ali
Shahid,  Information
Officer,  President
Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Mr.  M.  Uzair
Shafique,  Protocol
Assistant,  President
Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Hav.  Muhammad
Jamil,  Gunman,",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Nk.  Sabz  Ali  Khan,
Gunman,  President
Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Sep.  Rana  Ijaz
Ahmed,  Gunman,
President Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Sep.  Farmanullah,
Gunman,  President
Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Mr.  Muhammad
Sohail,  Gunman,
President Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Mr.  Sabir  Hussain,
Special  Branch,
President Sectt.",,2009-02-14,2500.0,0.0,Yes,Yes
One Jewellary Box,,"Mr.  Mushtaq  Ahmed
Valet,  President
Secretariat",,2009-02-14,2500.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol
Foreign Affairs",Military,2009-03-04,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr. Amjad Aziz Qazi,
Dy  Chief  of  Protocol
Foreign Affairs",Military,2009-03-04,10000.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Adeel  Ahmad
Khan,  Protocol
Officer,  Foreign
Affairs",,2009-03-04,10000.0,0.0,Yes,Yes
"Wrist  watch,
Faconable",Watch,"Mr.  Qasim  Raza
Muttaqi,  Director
General  (NASA),
M/o Foreign Affairs",,2009-03-04,24000.0,2100.0,Yes,Yes
"One  Leather  File
Folder small",,"Syed Sumsam Ali S.
Bokhari,  Minister  of",,2009-03-16,3500.0,0.0,Yes,Yes
"One  Leather
Briefcase",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-03-26,6000.0,0.0,Yes,Yes
"One  Leather  File
Case",,"Brig.  Mian
Muhammad  Hilal
Hussain,  MS  to  the
President, MS(P)",Military,2009-03-26,3500.0,0.0,Yes,Yes
"One  Leather  File
Case",,"Lt.  Col  Babar
Mumtaz,  CSO  to  the
President, CSO (P)",Military,2009-03-26,3500.0,0.0,Yes,Yes
"One  Leather  File
Case",,"Ms.  Farhanaz
Isfahani, MNA",,2009-03-26,3500.0,0.0,Yes,Yes
"One  Glass  kettle
(Decorated)",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-04-13,18000.0,1200.0,Yes,Yes
"One  Silver  Bowl
(Decorated)",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-04-13,22500.0,1875.0,Yes,Yes
"One  Steel  Paper
Cutter",,"Maj. Gen. Tassawar,
PP (P)",Military,2009-04-13,2500.0,0.0,Yes,Yes
"One Glass Decoration
Bowl (L)",Decoration Pieces,"Brig.  Mian
Muhammad  Hilal
Hussain,  MS  to  the
President, MS (P)",Military,2009-04-13,5000.0,0.0,Yes,Yes
"One  Glass  Cup
(Decorated)",,"Cdr.  Amir  Saeed,
ADC  to  the
President, ADC(N)",,2009-04-13,2000.0,0.0,Yes,Yes
"One  Glass  Bowl
(Decorated) (S)",,"Maj.  Imran  Haider,
ADC  to  the
President,  ADC
(Army)",Military,2009-04-13,4000.0,0.0,Yes,Yes
"One  Steel  Paper
Cutter",,"Mr.  Tariq  Aslam,
Protocol  Officer,",,2009-04-13,2500.0,0.0,Yes,Yes
"One  Steel  Paper
Cutter",,"Mr.  Muhammad
Junaid  Khan,
Protocol  Assistant,
President Sectt.",,2009-04-13,2500.0,0.0,Yes,Yes
One Decoration piece,Decoration Pieces,"Mr  Ghalib  Iqbal,
Chief  of  Protocol,
Foreign Affairs",Military,2009-04-21,4500.0,0.0,Yes,Yes
One Decoration piece,Decoration Pieces,"Mr.  M.  Amjad  Aziz
Qazi,  Deputy  Chief
Protocol,  Foreign
Affairs",Military,2009-04-21,3000.0,0.0,Yes,Yes
"Wrist  watch  gents,
Micheal Mondo",Watch,"Mr.  Adnan  A.
Khawaja,  Chairman,
NAVTEC",,2009-04-21,18000.0,1200.0,Yes,Yes
"Wrist  watch  ladies,
Technomarine",Watch,"Mrs.  Adnan  A.
Khawaja,",,2009-04-21,35000.0,3750.0,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies.
c. One pen
d. Pair of ear rings
e. Pair of cufflinks
f. One ring
g. One bracelet",Watch,"Syed  Hamid  Kazmi,
Federal  Minister  for
Religious Affairs",,2009-05-16,211300.0,30195.0,Yes,Yes
One Carpet Rug,Carpet,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol,
Foreign Affairs",Military,2009-05-25,0.0,0.0,Yes,Yes
"a. One Saddle
b. One Choga",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-02,19000.0,0.0,Yes,Yes
"One  Glass  decorated
box",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-02,7500.0,0.0,Yes,Yes
One Metal Tray,,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-02,7500.0,0.0,Yes,Yes
One Carpet/Rug,Carpet,"Military  Secretary to
the  President,  MS
(P)",Bureaucracy,2009-06-02,5000.0,0.0,Yes,Yes
"a. One  wrist  watch
gents
b. One  wrist  watch
ladies
c. Pair of ear ring
d. One bracelet",Watch,Defence Minister,,2009-06-09,180200.0,25530.0,Yes,Yes
"a. One  wrist  watch 
Gio Monoco
b. One  wrist  watch
Eloga
c. One pen Tiffany",Watch,"  Mr. Ghous Bux Khan
Mahar,  Chairman,
Standing  Committee
on  Industries  &
Production",,2009-06-11,76800.0,0.0,Auctioned,"Auctioned
(a) For Rs.33,000/-
(b) For Rs.40,100/-
(c) For Rs.2,100/-"
"a. Pair of ear ring
b. Pair of cufflinks
c. One bracelet
d. One ring",,"Mr. Ghous Bux Khan
Mahar,  Chairman,
Standing  Committee
on  Industries  &
Production",,2009-06-11,70800.0,13425.0,Yes,Yes
One Square Mirror,,"Syed  Ahsan  Raza
Shah,  DCP  Foreign
Affairs",,2009-06-24,0.0,0.0,Yes,Yes
One Square Mirror,,"Mr.  Naeem  Iqbal
Cheema,  Protocol
Officer,  Foreign
Affairs",,2009-06-24,0.0,0.0,Yes,Yes
One Model of Animal,,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-29,20000.0,1500.0,Yes,Yes
One Model of Crystal,,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-29,7000.0,0.0,Yes,Yes
One Book (Brussels),,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-29,0.0,0.0,Yes,Yes
"One  Box  containing
Three Ceramic Plates",,"Mr.  Asif  Ali  Zardari,
President  of
Pakistan",PPP,2009-06-29,1000.0,0.0,Yes,Yes
"One  Box  containing
Two Pens",Pen,"Brig.  Mian
Muhammad  Hilal
Hussain,  MS  to  the
President, MS (P)",Military,2009-06-29,2500.0,0.0,Yes,Yes
"One  wrist  watch
Hamilton",Watch,"Pir  Syed  Fazal  Ali
Shah,  Chairman,
Federal  Land
Commission",,2009-07-02,30000.0,3000.0,Yes,Yes
"One  wrist watch  Gio
Monoco",Watch,"Pir  Syed  Fazal  Ali
Shah,  Chairman,
Federal  Land
Commission",,2009-07-02,30000.0,3000.0,Yes,Yes
"Wrist  watch  (Tag
Heuer)",Watch,"Malik  Asif  Hayat,
Secretary  Labour
and Manpower",Bureaucracy,2009-07-08,90000.0,12000.0,Yes,Yes
"a. Book  from  Tehran 
to Tehran",,"  Mian  Muhammad
Shehbaz  Sharif,",PMLN,2009-07-15,0.0,0.0,a. Book,a. Book
"Carpet  in  Shopping
Bag",Carpet,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,13000.0,0.0,Auctioned,"Auctioned for
Rs.20,000/-"
"6  frames  of  different
kinds",,"Chief  Minister,
Punjab,  Mian
Muhammad
Shahbaz Sharif",PMLN,2009-07-15,100000.0,0.0,Auctioned,"Auctioned
a. For Rs.31,100/
b. For Rs.31,100/-
c. For Rs.31,100/-
d. For Rs.13,100/
e. For Rs.13,100/
f. For Rs.11,200/-"
"a. Frame  box  Shield
(Large)
b. Frame  box  shield
(small)
c. Three  shields
(small)",,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,6000.0,0.0,Auctioned,"Auctioned
a. For Rs.9,100/
b. For Rs.1,800/
c. For Rs.750/"
"One  Ceramic  Plate
(Large)",,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,4000.0,0.0,Auctioned,"Gift auctioned for
Rs.7,300/-"
"a. Book  Shahnama-
e-Firdous
b. 2  Gift  Pack  in
Boxes",,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,4500.0,0.0,Auctioned,"a. Book
transferred to
Cabinet Division
Library
b. Rest of the gifts
auctioned for
Rs.1,100/-"
One Tower,,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,0.0,0.0,Auctioned,"Auctioned for
Rs.1,120/-"
"One  Ceramic  Plate
(Small)",,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,2500.0,0.0,Auctioned,"Auctioned for
Rs.4,300/-"
"a. Kitab-e-Hafiz
(Book)
b. 2 Frames
c. 3 Albums",,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,4000.0,0.0,Auctioned,"(a) Book
Transferred to
Cabinet Division
Library
(b) Two frames
auctioned for
Rs.6,100/-
(c) Three Albums
Returned"
"a. Large carpet
b. 30 small carpets
c. 26  lady’s  watch
Citizen",Watch,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,328000.0,0.0,Auctioned,"Auctioned-
a. For Rs.
60,000/-
b. For Rs.
15,870/
c. For
Rs.17,555/-"
Gift pack plastic bag,,"Mian  Muhammad
Shehbaz  Sharif,
Chief  Minister,
Punjab",PMLN,2009-07-15,7000.0,0.0,No,No
"Wrist  watch,
Hamilton",Watch,"Dr.  Asim  Hussain,
Chairman,  NRB/
Advisor  to  Prime
Minister",,2009-07-16,30000.0,3000.0,Yes,Yes
One Ceramic Plate,,"Dr.  Babar  Awan,
Federal  Minister  for",,2009-07-18,0.0,0.0,Auctioned,"Auctioned for
Rs.789/-"
"Wrist  watch  (Frank
Muller)  Geneva
Electra",Watch,"Mr.  Saleem
Mandviwalla,
Minister  of  state/
Chairman BOI",,2009-07-18,380000.0,55500.0,Yes,Yes
"One  box  containing
wrist  watch,  pair  of
cufflinks  pen  &  tie
(Ven Der Bauwede)",Watch,"Muhammad  Amjad
Aziz  Qazi,  Deputy
Chief  of  Protocol,
DCP  Ministry  of
Foreign Affairs",Military,2009-07-20,25000.0,2250.0,Yes,Yes
"One  wrist  watch
Omega  No.81469359
Constellation  Steel
Bracelet",Watch,"Mr.  Ghalib  iqbal,
Chief  Protocol  M/o
Foreign Affairs",Military,2009-08-01,135000.0,18750.0,Yes,Yes
One Flower Vase,Decoration Pieces,"Mr.  Farhatullah
Babar,
Spokesperson to the
President",PPP,2009-08-06,2000.0,0.0,Yes,Yes
One Crystal Shield,,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,0.0,0.0,Yes,Yes
"One  Aigo  Sound/
Music System",,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,4500.0,0.0,Yes,Yes
Wall frame,,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,4000.0,0.0,Yes,Yes
"Decoration  Piece  /
Shield",Decoration Pieces,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,3000.0,0.0,Yes,Yes
Crystal Boat,,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,9000.0,0.0,Yes,Yes
"Decoration  Piece
(City Model)",Decoration Pieces,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,0.0,0.0,Yes,Yes
T.Shirt,,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,0.0,0.0,Yes,Yes
Sailing Shield,,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,3000.0,0.0,Yes,Yes
"Decoration  piece
(Shanghai Scenery)",Decoration Pieces,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,3500.0,0.0,Yes,Yes
"Replica  of  Shanghai
TV Tower",,"Mr.  Farooq  H.  Naek,
Chairman Senate",PPP,2009-08-10,0.0,0.0,Yes,Yes
One Porcelain Plate,,"Mr.  Khalid  Aziz
Mirza,  Chairman
Competition
Commission  of
Pakistan",,2009-08-12,2000.0,0.0,Yes,Yes
"Wrist watch with pair
of  Cufflinks,  pen  and
Tie  (van  Der
Bauwede)",Watch,"Mr.  Ali  Arshad
Hakeeem,  Chairman
NADRA",,2009-08-18,0.0,2250.0,Yes,Yes
"Crystal  Table  Watch
alongwith  stand  2
pcs",Watch,"Mr.  Shaukat  Fayaz
Ahmed  Tarin,
Minister  for  Finance,
Revenue  Economic
Affairs and Statistics",,2009-09-01,2500.0,0.0,Auctioned,"Auctioned for
Rs.2,710/-"
"a. One  Decoration
(piece)  (Wooden
+ Glass)
b. One  Noter  Coin
Album",Decoration Pieces,"Secretary/Chairman
, Railways Board",Bureaucracy,2009-09-03,2000.0,0.0,Auctioned,"Auctioned
a. For Rs. 1,110/-
b. For Rs.2,010/-"
"Wrist  watch,
Facconable -",Watch,"Mr.  Salman  Bashir,
Foreign Secretary",Bureaucracy,2009-09-10,24000.0,2100.0,Yes,Yes
"Two  Chinese
Cushions",,"Syed  Hasan  Javed,
Additional
Secretary,  Foreign
Affairs",Bureaucracy,2009-10-08,0.0,0.0,Yes,Yes
"One  Package  of  gift
i.e.  Decoration  Piece
Chinese  Fan  Type
Golden Color",Decoration Pieces,"Syed  Hasan  Javed,
Additional
Secretary,  Foreign
Affairs",Bureaucracy,2009-10-08,500.0,0.0,Auctioned,"Auctioned for
Rs.1,250/-"
"Wrist  watch
Facconable",Watch,"Rao  Sadiq  Ali,
Reporter PBC",Media,2009-10-08,24000.0,2100.0,Yes,Yes
"Two  Chinese
Cushions",,"Farhatullah  Babar,
Press  Spokesperson
to the President",PPP,2009-10-10,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Dr  Asim  Hussain,
Chairman NRB",,2009-10-13,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr. Kamal Majidulla,
Special  Assistant  to
Prime  Minister,
SAPM  on  Water
Resources  and
Agriculture",,2009-10-19,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr  Saleem  H.
Mandviwalla,
Chairman,  Board  of
Investment,
Islamabad",,2009-10-20,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr.  A.Q.  Mughal,
Vice  Chancellor,
Sindh  Agriculture
University,
Tandojam, Sindh",,2009-10-20,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr.  Masood  Khalid,
Additional
Secretary,  Foreign
Affairs",Bureaucracy,2009-10-20,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol,
Foreign Affairs",Military,2009-10-20,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr.  M.  Amjad  Aziz
Qazi,  DCP,  Foreign
Affairs",,2009-10-20,0.0,0.0,Yes,Yes
"Two  Chinese
Cushions",,"Mr.  M.  Qasim  Faqir,
Protocol  Officer,
Foreign Affairs",,2009-10-20,0.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Shaukat  Fayaz
Ahmed  Tarin,
Minister  for  Finance,
Revenue,  EA  and
Statistics",,2009-10-20,18000.0,0.0,Auctioned,"Auctioned for
Rs.23,000/-"
"One  Wrist  Watch
(Van Der Bauwede)",Watch,"Mr.  Muhammad
Aziz,  Photographer,
PID",Media,2009-10-21,25000.0,0.0,Yes,Yes
"One  Tea  Pot  China
Clay  Dark  Brown
Color  with  Golden
Work",Crockery,"Mr.  Sibtain  Fazal
Haleem, Secretary
EAD",Bureaucracy,2009-11-10,1000.0,0.0,Auctioned,"Auctioned for
Rs.1,500/-"
"One  Tea  Set  Red
Color  in  a  Brief  Case
Brown Color",Crockery,"Mr.  Sibtain  Fazal
Haleem, Secretary
EAD",Bureaucracy,2009-11-10,3500.0,0.0,"Broken and written
off","Broken and written
off"
One Leather Bag,Bags,"Mr.  Zafar  Mahmood,
Cabinet Secretary",Bureaucracy,2009-11-17,10000.0,0.0,Yes,Yes
One Silver Bowl,,"Mr.  Zafar  Mahmood,
Cabinet Secretary",Bureaucracy,2009-11-17,18000.0,1200.0,Yes,Yes
One Shield (Ceramic),,"Mr.  Farooq  H.  Naek,
Chairman Senate",,2009-11-18,0.0,0.0,Yes,Yes
"Jewelry  Box
(Ceramic)",,"Mr.  Farooq  H.  Naek,
Chairman Senate",,2009-11-18,600.0,0.0,Yes,Yes
One Book (Poland),,"Mr.  Farooq  H.  Naek,
Chairman Senate",,2009-11-18,0.0,0.0,Yes,Yes
"One  Malaysian
Traditional  Kite  Gold
Plated",,"Mr.  Nazar
Muhammad  Gondal,
Minister  for  Food  &
Agriculture and Agro
based Industry",,2009-12-17,2500.0,0.0,Yes,Yes
"Model  Door  of Khana
Kaba",Decoration Pieces,"Syed  Yousaf  Raza
Gillani,  Prime
Minister of Pakistan",PPP,2009-12-23,50000.0,6000.0,Yes,Yes
"One  Jewelry  set
containing  Necklace,
Bracelet,  Ring  &  one
Pair of Ear Rings",Jewellery/Accessories,"Wife  of  Prime
Minister,  Yousaf
Raza Gillani",PPP,2009-12-23,2183620.0,0.0,Yes,Yes
"One  Wrist  Watch
Hamilton No.H-3261",Watch,"Syed  Ahmed
Mujtaba  Gillani,
Brother  of  Prime
Minister,  Yousaf
Raza Gillani",PPP,2009-12-23,110000.0,15000.0,Yes,Yes
"One  Wrist  Watch
Faconable",Watch,"Syed  Ali  Musa
Gillani, Son of Prime
Minister,  Yousaf
Raza Gillani",PPP,2009-12-23,50000.0,0.0,Yes,Yes
"One  Wrist  Watch
Faconable",Watch,"Syed  Qutab  Ali
Shah,  Nephew  of
Prime  Minister,
Yousaf Raza Gillani",PPP,2009-12-23,50000.0,6000.0,Yes,Yes
"One  Wrist  Watch
Faconable",Watch,"Shahid  Ali  Sheikh,
Guest  of  Prime
Minister,  Yousaf
Raza Gillani",PPP,2009-12-23,50000.0,6000.0,Yes,Yes
"One  Wrist  Watch
Faconable",Watch,"Mian  Amjad,  Guest
of  Prime  Minister,
Yousaf Raza Gillani",PPP,2009-12-23,50000.0,6000.0,Yes,Yes
"One  Wrist  Watch
PIPPO",Watch,"Mrs.  Itrat  Bano,
Wife of Syed Ahmad
Mujtaba Gillani",PPP,2009-12-23,70000.0,9000.0,Yes,Yes
"One  Wrist  Watch
PIPPO",Watch,"Syeda  Fiza  Batool,
Daughter  of  Prime
Minister,  Yousaf
Raza Gillani",PPP,2009-12-23,70000.0,9000.0,Yes,Yes
"One  Wrist  Watch
PIPPO",Watch,"Mrs.  Aqeedat Zahra,
Wife  of  Syed  Qutab
Ali Shah",,2009-12-23,70000.0,9000.0,Yes,Yes
"One  Wrist  Watch
Faconable",Watch,"Mr.  Muhammad
Naeem  Khan,  Guest
of  Prime  Minister,
Yousaf Raza Gillani",PPP,2009-12-23,50000.0,6000.0,Yes,Yes
"One  wrist  watch
Technomarine",Watch,"Maj.  Gen.  Azhar
Mahmood,  personal
physician  to  Prime
Minister",Military,2009-12-30,43000.0,4950.0,Yes,Yes
"One  Wrist  Watch
Technomarine",Watch,"Mr.  Siraj  Saleem
Shamsuddin,  Ex-
Principal  Secretary  to
the Prime Minister",Bureaucracy,2010-01-13,43000.0,4950.0,Yes,Yes
Wrist Watch POG,Watch,"Brig.  Nazir  Ahmed
Butt,  Ex-MS  to  Prime
Minister",Military,2010-01-13,25000.0,2250.0,Yes,Yes
"One  Lady’s  Wrist
Watch Tecnomarine",Watch,"Mrs.  Sumbul  Nazir,
Wife  of  EX- MS  to
Prime Minister",Military,2010-01-13,35000.0,3750.0,Yes,Yes
"One  Wrist  Watch
POG",Watch,"Capt ® Khalid Sultan,
Ex-PSO  to  Prime
Minister",Military,2010-01-13,25000.0,2250.0,Yes,Yes
"One  Box  containing
a  Wrist  Watch
Philipe  Vendour  with
pair  of  Studs,  bal
pen and Wallet",Watch,"Mr.  Farhan  Tanveer,
Air Crew",,2010-01-21,40000.0,4500.0,Yes,Yes
"One  Box  containing
a  Wrist  Watch
Philipe  Vendour  with
pair  of  Studs,  bal
pen and Wallet ,",Watch,"Mr.  Ahsan  Ahmed
Bhatti, Air Crew",,2010-01-21,40000.0,4500.0,Yes,Yes
